Site ID,Business Type,Notes,LicenseeName,DBA,Address,Address_2,City,State,Zip Code
24096,Distiller - NQ3 by the drink,Class B,Neeley Family Distilling LLC,Neeley Family Distillery,4360 Ky Highway 1130,,Sparta,KY,41083-9454
23282,Distiller,Class B,Boundary Oak Distillery LLC,Boundary Oak Distillery,2000 Boundary Oak Dr,,Radcliff,KY,40160-8193
26316,Distiller,Class B,Meadowbrook Estates LLC,Old Blue Ribbon Farm,2283 Ballardsville Rd,,Eminence,KY,40019-0000
26272,Distiller,Class B,Michters Distillery LLC,Michters Distillery LLC,801 W Main St,,Louisville,KY,40202-0000
17012,Distiller,Class B,Distilled Spirits Epicenter LLC,Grease Monkey Distillery,801 S 8th St,Ste B,Louisville,KY,40203-2024
4072,Distiller,Class B,R Keith Hazelbaker Ventures Inc,PCS Distilling Company,436 Baxter Ave,,Louisville,KY,40204-1146
27502,Distiller,Class B,Distillery America LLC,Distillery America,1110 Wilson Ave,,Louisville,KY,40210-0000
24783,Distiller,Class B,Barrell Craft Spirits LLC,Barrell Craft Spirits Distillery,3311 Gilmore Ind Blvd Ste 3,,Louisville,KY,40213-0000
5854,Small Farm Winery,Class B,Chrisman Mill Vineyards Inc,Chrisman Mill Vineyards,2385 Chrisman Mill Rd,,Nicholasville,KY,40356-0000
20492,Distiller,Class B,Second Sight Spirits LLC,Second Sight Spirits,301 B Elm St,,Ludlow,KY,41016-0000
21414,Distiller,Class B,Kentucky Mist Moonshine Inc,Kentucky Mist Moonshine,128 E Main St,,Whitesburg,KY,41858-0000
20436,Distiller,Class B,Wadelyn Ranch Distilling LLC,Wadelyn Ranch Distilling,383 Clydesdale Rd,,Waynesburg,KY,40489-7900
25615,Distiller,Class B,Tyler Wood White Whiskey LLC,Tyler Wood White Whiskey,103 White Whiskey Rd,,Lewisburg,KY,42256-0000
15766,Distiller,Class B,Limestone Branch Distillery LLC,Limestone Branch Distillery,1280 Veterans Memorial Hwy,,Lebanon,KY,40033-1095
16601,Distiller,Class B,The Old Pogue Distillery LLC,Old Pogue,716 W 2nd St,,Maysville,KY,41056-9777
18917,Distiller,Class B,Silent Brigade Distillery Inc,Silent Brigade Distillery,426 Broadway St,,Paducah,KY,42001-0734
19095,Distiller,Class B,Paducah Distilled Spirits LLC,Paducah Distilled Spirits,407 Jefferson St,,Paducah,KY,42001-4336
20714,Distiller,Class B,Heritage Tobacco Group LLC,Olde Towne Distillery,551 Tapp Rd Ste 3,,Harrodsburg,KY,40330-0000
25474,Distiller,Class B,C&K Distillery LLC,Coal Pick Distillery,1825 Log Creek Lane,,Drakesboro,KY,42337-0000
13735,Distiller,Class B,Preservation Distillery LLC,Whiskeycraft,426 Sutherland Rd,,Bardstown,KY,40004-0000
24613,Distiller - NQ3 by the drink,Class B,Alltech's Beverage Division LLC,Dueling Barrels Brewing Company,745 Hambley Blvd,,Pikeville,KY,41501-0000
23470,Distiller,Class B,Pauley Hollow Distillery LLC,Pauley Hollow Distillery LLC,91 Kate Camp Br,,Forest Hills,KY,41527-8405
22937,Distiller,Class B,Bourbon 30 Spirits LLC,Bourbon 30 Spirits LLC,130 S Water St,,Georgetown,KY,40324-1361
23536,Distiller,Class B,Rut 'N Strut Distillery LLC,Jeptha Creed Distillery,500 Gordon Ln,,Shelbyville,KY,40065-8269
20309,Distiller,Class B,Dueling Grounds Distillery LLC,Dueling Grounds Distillery LLC,208 Harding Rd,,Franklin,KY,42134-2303
26637,Distiller,Class B,Saddlestone Distillery LLC,Saddlestone Distillery,1280 Moores Mill Rd,Distillery Building,Midway,KY,40347-0000
